source,headline,url,scraped_at
Block Club Chicago,Immigrants In Illinois Are Finding Success Challenging Their Detention In Federal Court,https://blockclubchicago.org/2026/06/26/immigrants-in-illinois-are-finding-success-challenging-their-detention-in-federal-court/,2026-06-27 15:08:21
Block Club Chicago,"Street Vendor Ticketed By Police, Then Detained By ICE: ‘We Don’t Know Who We Can Trust’",https://blockclubchicago.org/2026/06/18/immigrant-street-vendor-detained-by-ice-after-chicago-police-arrest-we-dont-know-who-we-can-trust/,2026-06-27 15:08:21
Block Club Chicago,Quilting For A Cause: ‘Quilt-A-Thon’ To Raise Money For Detained Immigrants,https://blockclubchicago.org/2026/06/03/quilting-for-a-cause-quilt-a-thon-to-raise-money-for-detained-immigrants/,2026-06-27 15:08:21
Block Club Chicago,ICE Deported Them. Cook County Prosecutors Still Want Them Arrested For Missing Court,https://blockclubchicago.org/2026/05/29/ice-deported-them-cook-county-prosecutors-still-want-them-arrested-for-missing-court/,2026-06-27 15:08:21
Block Club Chicago,City To Collect $440k In Fines From ‘Rogue’ Bus Companies That Brought Migrants To Chicago,https://blockclubchicago.org/2026/05/29/city-to-collect-440k-in-fines-from-rogue-bus-companies-that-brought-migrants-to-chicago/,2026-06-27 15:08:21
Block Club Chicago,Chicago Teen Held For Months In ICE Detention Centers Graduates From High School: ‘Victory’,https://blockclubchicago.org/2026/05/28/chicago-teen-held-for-months-in-ice-detention-centers-graduates-from-high-school-victory/,2026-06-27 15:08:21
Block Club Chicago,Tortured In El Salvador. Detained For Over A Year. Then Deported Anyway,https://blockclubchicago.org/2026/05/12/tortured-in-el-salvador-detained-for-over-a-year-then-deported-anyway/,2026-06-27 15:08:21
Block Club Chicago,ICE Killed A Man Outside Chicago Last Year. Little Has Been Done To Investigate,https://blockclubchicago.org/2026/03/23/ice-killed-a-man-outside-chicago-last-year-little-has-been-done-to-investigate/,2026-06-27 15:08:21
Block Club Chicago,"More Than 30 Warrantless Midway Blitz Arrests Violated Consent Decree, Judge Rules",https://blockclubchicago.org/2026/02/27/more-than-30-warrantless-midway-blitz-arrests-violated-consent-decree-judge-rules/,2026-06-27 15:08:21
Block Club Chicago,"Despite Fears, Chicago’s Rapid Responders Vow To Continue Facing Down Federal Immigration Officers",https://blockclubchicago.org/2026/01/20/despite-fears-chicagos-rapid-responders-vow-to-continue-facing-down-federal-immigration-officers/,2026-06-27 15:08:21
