source,headline,url,scraped_at
Block Club Chicago,"Chicago DJ And His Husband Released From ICE Custody, But Their Battle Isn’t Over",https://blockclubchicago.org/2026/08/19/chicago-dj-and-his-husband-released-from-ice-custody-but-their-battle-isnt-over/,2026-08-24 14:31:27
Block Club Chicago,"He Watched His Mother Advocate For Special Ed Support In CPS. Now, He’s Voting For Change",https://blockclubchicago.org/2026/08/13/he-watched-his-mother-advocate-for-special-ed-support-in-cps-now-hes-voting-for-change/,2026-08-24 14:31:27
Block Club Chicago,Chicagoans Alleging Crimes By ICE Agents Seek Police Help After Feds ‘Fail To Act’,https://blockclubchicago.org/2026/08/10/chicagoans-alleging-crimes-by-ice-agents-seek-police-help-after-feds-fail-to-act/,2026-08-24 14:31:27
Block Club Chicago,ICE Arrests Are On The Rise Again In Chicago. Here’s What Immigrants Need To Know,https://blockclubchicago.org/2026/07/09/ice-arrests-are-on-the-rise-in-chicago-heres-what-immigrants-need-to-know/,2026-08-24 14:31:27
Block Club Chicago,Immigrants In Illinois Are Finding Success Challenging Their Detention In Federal Court,https://blockclubchicago.org/2026/06/26/immigrants-in-illinois-are-finding-success-challenging-their-detention-in-federal-court/,2026-08-24 14:31:27
Block Club Chicago,"Street Vendor Ticketed By Police, Then Detained By ICE: ‘We Don’t Know Who We Can Trust’",https://blockclubchicago.org/2026/06/18/immigrant-street-vendor-detained-by-ice-after-chicago-police-arrest-we-dont-know-who-we-can-trust/,2026-08-24 14:31:27
Block Club Chicago,Quilting For A Cause: ‘Quilt-A-Thon’ To Raise Money For Detained Immigrants,https://blockclubchicago.org/2026/06/03/quilting-for-a-cause-quilt-a-thon-to-raise-money-for-detained-immigrants/,2026-08-24 14:31:27
Block Club Chicago,ICE Deported Them. Cook County Prosecutors Still Want Them Arrested For Missing Court,https://blockclubchicago.org/2026/05/29/ice-deported-them-cook-county-prosecutors-still-want-them-arrested-for-missing-court/,2026-08-24 14:31:27
Block Club Chicago,City To Collect $440k In Fines From ‘Rogue’ Bus Companies That Brought Migrants To Chicago,https://blockclubchicago.org/2026/05/29/city-to-collect-440k-in-fines-from-rogue-bus-companies-that-brought-migrants-to-chicago/,2026-08-24 14:31:27
Block Club Chicago,Chicago Teen Held For Months In ICE Detention Centers Graduates From High School: ‘Victory’,https://blockclubchicago.org/2026/05/28/chicago-teen-held-for-months-in-ice-detention-centers-graduates-from-high-school-victory/,2026-08-24 14:31:27
