source,headline,url,scraped_at
Block Club Chicago,"Despite Fears, Chicago’s Rapid Responders Vow To Continue Facing Down Federal Immigration Officers",https://blockclubchicago.org/2026/01/20/despite-fears-chicagos-rapid-responders-vow-to-continue-facing-down-federal-immigration-officers/,2026-02-16 14:37:01
Block Club Chicago,‘They Took Away My Son’s Life’: A Migrant Family Grapples With Loss After A Deadly Arson,https://blockclubchicago.org/2026/01/20/they-took-away-my-sons-life-a-migrant-family-grapples-with-loss-after-a-deadly-arson/,2026-02-16 14:37:01
Block Club Chicago,Her Baby Was In The NICU. She Was In ICE Detention.,https://blockclubchicago.org/2025/12/02/her-baby-was-in-the-nicu-she-was-in-ice-detention/,2026-02-16 14:37:01
Block Club Chicago,"Immigration Committee Launches Portal To Collect Reports Of ICE, Border Patrol Violating City Laws",https://blockclubchicago.org/2025/11/26/immigration-committee-launches-portal-to-collect-reports-of-ice-border-patrol-violating-city-laws/,2026-02-16 14:37:01
Block Club Chicago,Child Care Workers Are Building A Network Of Resistance Against ICE,https://blockclubchicago.org/2025/11/24/child-care-workers-are-building-a-network-of-resistance-against-ice/,2026-02-16 14:37:01
Block Club Chicago,New DHS Rule Leaves Immigrants At Risk Of Losing Their Work Permits,https://blockclubchicago.org/2025/11/14/new-dhs-rule-leaves-immigrants-at-risk-of-losing-their-work-permits/,2026-02-16 14:37:01
Block Club Chicago,Attendance Drops At Chicago Schools In Communities With Increased Immigration Enforcement,https://blockclubchicago.org/2025/11/07/attendance-drops-at-chicago-schools-in-communities-with-increased-immigration-enforcement/,2026-02-16 14:37:01
Block Club Chicago,Filming ICE Detention Of Man With Schizophrenia Left Bystander ‘Trembling’,https://blockclubchicago.org/2025/11/03/filming-ice-detention-of-man-with-schizophrenia-left-bystander-trembling/,2026-02-16 14:37:01
Block Club Chicago,Federal Appeals Court Blocks Order Requiring Border Patrol Chief To Report To Court Daily,https://blockclubchicago.org/2025/10/29/federal-appeals-court-blocks-order-requiring-border-patrol-chief-to-report-to-court-daily/,2026-02-16 14:37:01
Block Club Chicago,"Judge Extends Immigration Arrest Restrictions, May Order Detainees Released On Monitoring",https://blockclubchicago.org/2025/10/24/judge-extends-immigration-arrest-restrictions-may-order-detainees-released-on-monitoring/,2026-02-16 14:37:01
