source,headline,url,scraped_at
Block Club Chicago,Her Baby Was In The NICU. She Was In ICE Detention.,https://blockclubchicago.org/2025/12/02/her-baby-was-in-the-nicu-she-was-in-ice-detention/,2025-12-25 14:10:35
Block Club Chicago,"Immigration Committee Launches Portal To Collect Reports Of ICE, Border Patrol Violating City Laws",https://blockclubchicago.org/2025/11/26/immigration-committee-launches-portal-to-collect-reports-of-ice-border-patrol-violating-city-laws/,2025-12-25 14:10:35
Block Club Chicago,Child Care Workers Are Building A Network Of Resistance Against ICE,https://blockclubchicago.org/2025/11/24/child-care-workers-are-building-a-network-of-resistance-against-ice/,2025-12-25 14:10:35
Block Club Chicago,New DHS Rule Leaves Immigrants At Risk Of Losing Their Work Permits,https://blockclubchicago.org/2025/11/14/new-dhs-rule-leaves-immigrants-at-risk-of-losing-their-work-permits/,2025-12-25 14:10:35
Block Club Chicago,Attendance Drops At Chicago Schools In Communities With Increased Immigration Enforcement,https://blockclubchicago.org/2025/11/07/attendance-drops-at-chicago-schools-in-communities-with-increased-immigration-enforcement/,2025-12-25 14:10:35
Block Club Chicago,Filming ICE Detention Of Man With Schizophrenia Left Bystander ‘Trembling’,https://blockclubchicago.org/2025/11/03/filming-ice-detention-of-man-with-schizophrenia-left-bystander-trembling/,2025-12-25 14:10:35
Block Club Chicago,Federal Appeals Court Blocks Order Requiring Border Patrol Chief To Report To Court Daily,https://blockclubchicago.org/2025/10/29/federal-appeals-court-blocks-order-requiring-border-patrol-chief-to-report-to-court-daily/,2025-12-25 14:10:35
Block Club Chicago,"Judge Extends Immigration Arrest Restrictions, May Order Detainees Released On Monitoring",https://blockclubchicago.org/2025/10/24/judge-extends-immigration-arrest-restrictions-may-order-detainees-released-on-monitoring/,2025-12-25 14:10:35
Block Club Chicago,Trump Asks Supreme Court To Let Him Mobilize National Guard Troops In Chicago Area,https://blockclubchicago.org/2025/10/17/trump-asks-supreme-court-to-let-him-mobilize-national-guard-troops-in-chicago-area/,2025-12-25 14:10:35
Block Club Chicago,Trump Video Claiming ‘Chaos’ In Chicago Is Mostly Old Footage From Other States,https://blockclubchicago.org/2025/10/16/trump-video-claiming-chaos-in-chicago-is-mostly-old-footage-from-other-states/,2025-12-25 14:10:35
