date,total_population,total_spend,news_count,social_count,cluster
2023-02-22,1029522.0,32160.0,0.0,0.0,0
2023-02-23,1029522.0,2823069.12,0.0,0.0,0
2023-02-24,1029522.0,295833944.0,0.0,0.0,0
2023-02-27,1029522.0,31548543.38,0.0,0.0,0
2023-02-28,1029522.0,130437683.7,0.0,0.0,0
2023-03-01,1029522.0,3480650.0,0.0,0.0,0
2023-03-02,1029522.0,854250.0,0.0,0.0,0
2023-03-03,1029522.0,370551438.38,0.0,0.0,1
2023-03-06,1029522.0,12864627.12,0.0,0.0,0
2023-03-10,1029522.0,364576145.56,0.0,0.0,1
2023-03-11,1029522.0,3941352.72,0.0,0.0,0
2023-03-13,1029522.0,12849715.6,0.0,0.0,0
2023-03-15,1029522.0,1256250.0,0.0,0.0,0
2023-03-16,1029522.0,93998413.8,0.0,0.0,0
2023-03-17,1029522.0,286444401.36,0.0,0.0,0
2023-03-20,1029522.0,12876097.52,0.0,0.0,0
2023-03-22,1029522.0,915916.7999999999,0.0,0.0,0
2023-03-24,1029522.0,278212478.36,0.0,0.0,0
2023-03-27,1029522.0,12872656.4,0.0,0.0,0
2023-03-28,1029522.0,929780.44,0.0,0.0,0
2023-03-29,1029522.0,82743599.7,0.0,0.0,0
2023-03-30,1029522.0,111014120.24000001,0.0,0.0,0
2023-03-31,1029522.0,295957879.56,0.0,0.0,0
2023-04-01,1029522.0,11263275.96,0.0,0.0,0
2023-04-06,1029522.0,5531616.48,0.0,0.0,0
2023-04-07,1029522.0,273518938.52,0.0,0.0,0
2023-04-10,1029522.0,1954278.78,0.0,0.0,0
2023-04-11,1029522.0,2900160.0,0.0,0.0,0
2023-04-12,1029522.0,4852086.399999999,0.0,0.0,0
2023-04-14,1029522.0,244323956.96,0.0,0.0,0
2023-04-21,1029522.0,312408271.76,0.0,0.0,1
2023-04-23,1029522.0,86400.0,0.0,0.0,0
2023-04-24,1029522.0,180000.0,0.0,0.0,0
2023-04-25,1029522.0,402000.0,0.0,0.0,0
2023-04-27,1029522.0,-172208.03999999998,0.0,0.0,0
2023-04-28,1029522.0,357522094.18,0.0,0.0,1
2023-04-30,1029522.0,8952868.94,0.0,0.0,0
2023-05-01,1029522.0,12067991.76,0.0,0.0,0
2023-05-03,1029522.0,627505.92,0.0,0.0,0
2023-05-04,1029522.0,69149.36,0.0,0.0,0
2023-05-05,1029522.0,289399835.52,0.0,0.0,0
2023-05-09,1029522.0,1035520.0,0.0,0.0,0
2023-05-10,1029522.0,348534.0,0.0,0.0,0
2023-05-12,1029522.0,116877365.76,0.0,0.0,0
2023-05-17,1029522.0,1140530.28,0.0,0.0,0
2023-05-18,1029522.0,4147660.8000000003,0.0,0.0,0
2023-05-19,1029522.0,234016501.74,0.0,0.0,0
2023-05-22,1029522.0,1041118.0000000001,0.0,0.0,0
2023-05-24,1029522.0,614580.48,0.0,0.0,0
2023-05-25,1029522.0,3432921.5999999996,0.0,0.0,0
2023-05-26,1029522.0,221396746.4,0.0,0.0,0
2023-05-30,1029522.0,2853269.84,0.0,0.0,0
2023-05-31,1029522.0,223996451.70000002,0.0,0.0,0
2023-06-01,1029522.0,343349105.44,0.0,0.0,1
2023-06-02,1029522.0,257657769.6,0.0,0.0,0
2023-06-06,1029522.0,21391.76,0.0,0.0,0
2023-06-07,1029522.0,1969920.0,0.0,0.0,0
2023-06-08,1029522.0,885196.7999999999,0.0,0.0,0
2023-06-09,1029522.0,281051133.12,0.0,0.0,0
2023-06-12,1029522.0,264000.0,0.0,0.0,0
2023-06-13,1029522.0,3929286.0,0.0,0.0,0
2023-06-14,1029522.0,15325.439999999999,0.0,0.0,0
2023-06-15,1029522.0,1220649.6,0.0,0.0,0
2023-06-16,1029522.0,354547891.2,0.0,0.0,1
2023-06-20,1029522.0,205386.24,0.0,0.0,0
2023-06-21,1029522.0,207976.32,0.0,0.0,0
2023-06-22,1029522.0,2014406.4000000001,0.0,0.0,0
2023-06-23,1029522.0,277345456.32,0.0,0.0,0
2023-06-25,1029522.0,629184.0,0.0,0.0,0
2023-06-27,1029522.0,63478.08,0.0,0.0,0
2023-06-28,1029522.0,1128648.96,0.0,0.0,0
2023-06-29,1029522.0,1906176.0,0.0,0.0,0
2023-06-30,1029522.0,344508292.8,0.0,0.0,1
2023-07-01,1029522.0,21042720.0,0.0,0.0,0
2023-07-03,1029522.0,1698624.0,0.0,0.0,0
2023-07-05,1029522.0,84289.92,0.0,0.0,0
2023-07-07,1029522.0,342568250.88,0.0,0.0,1
2023-07-10,1029522.0,2641401.5999999996,0.0,0.0,0
2023-07-11,1029522.0,473437.44,0.0,0.0,0
2023-07-12,1029522.0,1685337.6,0.0,0.0,0
2023-07-13,1029522.0,234030.72000000003,0.0,0.0,0
2023-07-14,1029522.0,359548067.52,0.0,0.0,1
2023-07-17,1029522.0,2285568.0,0.0,0.0,0
2023-07-18,1029522.0,747218.88,0.0,0.0,0
2023-07-19,1029522.0,1236042.24,0.0,0.0,0
2023-07-21,1029522.0,362710973.76,0.0,0.0,1
2023-07-23,1029522.0,397410.24,0.0,0.0,0
2023-07-24,1029522.0,1734904.32,0.0,0.0,0
2023-07-25,1029522.0,576000.0,0.0,0.0,0
2023-07-26,1029522.0,1299321.6,0.0,0.0,0
2023-07-27,1029522.0,410037604.8,0.0,0.0,1
2023-07-28,1029522.0,379466554.56,0.0,0.0,1
2023-07-31,1029522.0,14319039.36,0.0,0.0,0
2023-08-01,1029522.0,23048832.0,0.0,0.0,0
2023-08-04,1029522.0,381871212.48,0.0,0.0,1
2023-08-08,1029522.0,495474891.84,0.0,0.0,1
2023-08-09,1029522.0,350608.31999999995,0.0,0.0,0
2023-08-11,1029522.0,696337985.28,0.0,0.0,1
2023-08-14,1029522.0,576000.0,0.0,0.0,0
2023-08-18,1029522.0,392606016.96,0.0,0.0,1
2023-08-20,1029522.0,3700416.0,0.0,0.0,0
2023-08-22,1029522.0,953898.24,0.0,0.0,0
2023-08-23,1029522.0,964800.0,0.0,0.0,0
2023-08-25,1029522.0,392152349.76,0.0,0.0,1
2023-08-26,1029522.0,3601766.4000000004,0.0,0.0,0
2023-08-29,1029522.0,1151280.0,0.0,0.0,0
2023-08-30,1029522.0,564714.24,0.0,0.0,0
2023-08-31,1029522.0,13525676.16,0.0,0.0,0
2023-09-01,1029522.0,453535566.72,0.0,0.0,1
2023-09-03,1029522.0,3720038.4000000004,0.0,0.0,0
2023-09-05,1029522.0,18593912.64,0.0,0.0,0
2023-09-06,1029522.0,286548.48,0.0,0.0,0
